text,label
#light #love #power #now #viral #for whoever wants it @ DCH Toyota of…,1
Date night with @user Dinner and an Indy Fringe show! #MassAvelife #MassAveholes…,0
8 years together and this has been her favorite b-day gift. Thanks @user # ️ #hbd…,0
"This is Hannah, waving at cars going by on the interstate ️ #hannahisms @ 64 West Bound",3
Beauty comes with a price. #instacat #instakitty #instapet #beautymask @ Monterra Las Colinas,0
@user #MetinDetroit @ Comerica Park,3
"Awesome freeway sunset. I ️ Ca #sunset #losangeles #california @ Los Angeles, California",1
Sometimes the best company is yourself #MeMyselfAndI #ILoveMe…,1
Good Morning Lord! #friyay @ Anacortes/Sidney Ferry/Canada,0
Got him started about 8 yrs before me lol #LittlePeanut @ Yankee Stadium,1
"11:11 make a wish! Wishing for more memories like this Opened snapchat and got this, what a…",0
"Lmao who the fuck made this!? @ Houston, Texas",1
Senior Toasts ️ ️ @ Columbus State University,0
"A day in New braunfels @ New Braunfels, Texas",0
"Spiderman (@ Century 20 Daly City - @user in Daly City, CA)",4
First time using #big9 and I am in love ️ ️ ️ ️ ️ ️ ️ ️ ️ ️ ️ ️@guy_tang guytang_mydentity…,1
Appreciate The ️ Client marcusclark1170 Always Representing #ALFACustomClothiers Brand. #TShirt…,0
Son be reppin' the #215 Official.Peace to the young God @user spittin' dat... @user,2
"This dog ️ He's napping in Daddy's lap, smiling in his sleep.…",1
BRYCE CANYON - DAY 1 w/ elliehoffner @ Bryce Canyon National Park,0
"I ️ this city @ San Antonio, Texas",0
A clear sign that your student probably needs some attention from home ---#musthave2017…,0
"Who can relate #happythanksgiving @ New York, New York",0
think about time for me deactivate account on Facebook today afternoon or night so Hit me up before I close these page ..!*Mickey D*,1
I have never seen anyone look so happy pouring. #lovehim #spelhouselove #morehouse #spelman…,1
"Happy 15th, mini-me ️I love you lots and hope you had a wonderful…",2
"Guys, my mixtape is #analogue #synth #lowfi #tbt #ijustwanttomakebeatsandbearapper @ Rio…",3
Great game love!! ️ @ Farmerville CA,2
These Warriors were on this morning!! @ Training for Warriors Keene,3
"this is so me! Gotta write it all down before! @ Madison, Wisconsin",1
Thanks for the memz ️ CFA Powdersville forever! @ Chick-fil-A of…,0
@ Texas Roadhouse - Joplin,3
A day full of meetings and coffee with the sweet ashleylinkphotography To say she is a friend…,0
Se me alargaron un poco las piernas @ Bloomingdale's NY 59th St,3
"At the happiest place on earth with the one who makes me the happiest, I love you …",0
Oh my this boy melts my heart!! ️ he's ready to be a big brother!…,1
#WCW ... My name is Hannah &amp; I’m recently new here at Ultimate Sun (and loving it )! I am an…,0
@user #findyou release was so amazing thank you ️xoxo #besties #instagay #igers #tlfrs…,1
That one time I had to give a camel a cookie #summer17 @ GW Exotic…,1
We love our big sis ️ @ Port Neches - Groves High School,0
It only matters when you LOL in real life @ World Trade Center,1
@user tonight @ The Bluebird Cafe,3
"Excited to jump into junior year with you, friend tristanbowen15 @ Toccoa Falls College",1
Coming soon 12.3.17Ja Rule &amp; Ashanti Don't want to miss out! Get your tickets now at…,1
em World Trade Center,3
"You know, sometimes you just know youre in the right place. #reveallove #bodhichicago @user",1
Never enough... ️ Massachusetts bivalves...FOREVER. Check out those wellfleet.oysters…,2
Engravable ideas for the cuffs and pulley bracelets ️ @ Town of…,3
Trying a new brewery in my area! #combustion Where you at endless_wanderer!? #craftbeer #beer…,3
This would be great,1
I could do breakfast with you forever @ Tommy's Cafe,1
"Dammit, Shannon... #mildsandyak #mildsandthatyak #mildsandhenndawg #shannonsharpe…",3
HAPPY 21st BIRTHDAY roomie the day has finally come! thanks for…,0
My girl. ️ #breezy #bebeandkiki #bffs #birdsofafeather #camping sayetoli breharri @ Rollins…,0
Jack Hertzog's @user OG's DON'T RETIRE JACK NEVER LEAVE…,1
2nd women class was a blast thank you girls for coming ️ livv_n0tw dez_1355 sophiafeliciano…,3
Xoxo Scott Roberts ️ ️ ️ @ Seward Park,0
Everybody tag my nigga @user and tell him i got him a hit for him #pbd #ynt…,1
My lil big guy ! #calilove #lacosta terronhall @ Omni La Costa Resort &amp; Spa,0
Not sure if the calorie count or mileage is correct but it makes me feel good @ Equinox River…,1
Snoop lion..... Rastafari....bbubba claught! Stencils stain an buff!... @ Lincoln Elementary,3
"My baby Buggsy @ Longview, Washington",2
Does Sonja look a little scared? @ SkyView Atlanta,1
Happy Sunday!! After dinner look! #lipcolorgonebutstillfly #greatworshipthismorning…,0
Max was not amused... Lol #mykids #notamused #lol @ Northwest…,1
TONIGHT liquidblue757 it’s youlovemercy757 bday bash with yours truly @user on da set…,3
#Repost @user to @user for the #instastory love on instagram…,3
Chrissy spoiling me with an early gift #stellaartois #beergirl #christmaseve #beerstagram @user,0
Mommy &amp; Daughter Mani Pedi's ️ ️ ️ ️ ️ #vacationmode @ Locs of Glory,0
These two ️ ️ ️ @user blackwillis @ Royal Street Inn and Bar,0
Not my mom #Moms50th @ Knights of Columbuscouncil,2
The Commonwealth. ️ @ Virginia,3
congratulations to #Mr&amp;MrsGarrIDO !! love you both with all my ️and…,0
When Pokemon Go glitches hard and you become giant feet walking around #fml #pokemon…,1
I love you #8months @ At'l Do Farms,1
"""Can help me fix my bike ?"" End up becoming a birthday surprise Thanks guys ! #22 #PaitaoTime…",1
Girls Volleyball Senior Night was Congrats to all Seniors and their…,0
"Back 2 da Bullshit! @user beno49ers #hahaha #tacomachit #washington @ Tacoma, Washington",3
The results speak for themselves --Registration is now open--To sign up for my 30 day…,4
Ohh Pleaseeee Gimme that Beach Please PLEASEEEEEEE The perfect summer blend! Pick up a bottle…,3
DO YOU GET EXCITED ABOUT SALADS?? Man I sure do I've been looking forward to this beauty all…,1
The expertise costs... The glasses and the cardigan are free! @user,3
"Time for a group photo in South Carolina with Klea, Sara, Yanissa and Ali! #workandtravel2017…",0
"Dallas I'm shutting down District tonight!! Ladies Night Vol 2 at hosted by G Spook of 94.5,…",3
I'm the only musician in Treme to not have a band. I'm blessed to…,3
The Muppets! #muppets #familia #family #familytime #family #fun #goodtimes #travel #tbt ️ #tbt…,0
"Good hearty meal on the road today, that cornbread is y'all #wholehog #buxtonhallbbq…",0
best weekend with my best girls HBD to my HTF's @ FGL House,0
"Date night ️ ️ (at @user in New York, NY)",3
Let us warm you up. Delivery on @user @user @user •@wholefoodsnyc Williamsburg…,3
JUST ANNOUNCED SPECIAL PERFORMANCE BY: FRANK D. WRIGHT (Chicago &amp; Sonny/ Cher) &amp; RONNIE…,3
"Friday !! Friday !! Friday !! {ISSA $1 PARTY } #BROOKLYN NEW YORK ""WE BACK AT IT""Everybody…",3
All the pretties ️ ️ ballantyne_countryclub #ballantynecountryclub @ Ballantyne Country Club,0
"We are all #gearedup for the #italianheritageparade tomorrow October 8, 2017. Are you? #italy ️…",1
Our attempt to pose like our teenagers love me some Cooper!!! #slm…,2
We're jammin on Friday Sep 1 at drydiggingsfest Preparty with our friends @user WHOS…,3
Wondering if you can tell me what is missing in these meals? -Instead of you ordering from a…,1
pharm-family. @ Buffalo Wild Wings,0
The look when spending money in the mall @ Oglethorpe Mall,2
Back in Philly @ Wanamaker House,3
Those open mouth kisses are my fave....but only from him &amp; his daddy! Can someone please…,1
THAISSA thaissafit 14 YEARS OLD winner overall Novice Teen bikini 1 st place and teen open…,0
"Y'all Ain't Never Happy ""SMiLE"" Once In A While @ Denver, Colorado",1
Lost in a maze with this cutie isabelserenity @ Global Winter Wonderland,3
Model @user fire on the runway. #fashiondesignerlife #kansascity #art #suit #tailor…,3
"Right #FThePats @ Rodeo, California",3
"About the other night..... @ Salinas, California",2
"+++ ""In-store Packages"" // When the *NEW* ""GUDDA GOD 2"" collection drops in-store with…",0
"When you're grandparents' neighbor is a savage lmao @ Columbia, Tennessee",0
Family/Cottage time is @ Cedars of Lake Eugenia - Cottage Resort,0
"Dinner to go! (at @user in Madison, WI)",0
200 lbs calf raises tonight #legsinheelsmatter @ Planet Fitness,3
"Take me back to Virginia @ Fort Eustis, Virginia",2
A gorgeous caramel all over color done by Lauren! @ Euphoria Color and Hair Salon,0
Cultivating The Arts Summer Camp 2017!!! Great job son!!…,0
Last stop on the way to California. Coming for ya senior year @user,3
1st time here. Yum. Got Izumidai and Salmon #FoodPorn #PokeBowl #Poke #SeattleEats @ 45th Stop…,0
@user feat @user @user dope track.... hoping it moves up #1OnOtherTracks…,3
Skyview was scary interesting for us... A night to laugh about @ SkyView Atlanta,1
"Happy 2nd birthday to my Sace!!! Eeekkkk, we love you so much You bring me so much joy and…",2
A duet! This little midget has the best taste in music! I've ruined her #rockofages #journey…,0
Doctors hours today! Come &amp; see us! Get ready for the New Year 6-8 pm at Sand Springs…,4
@user I’d also add: wipe your sweaty bench down. Don’t be gross and stay out of my personal space at the gym!,1
Buy a #beetle. It'll be fun they say making car owners mechanics for over 60 years #vwbeetle…,3
Second Installment! 3 bundles of #sheshappyhair ! Colored by yours truly This Hair Game Ain't…,3
bruh just hang it up @ Tampa Bay,1
Labor Day weekend start @ The Garage Bar and Lounge,3
"Filming an episode of elders react. @user @ Burbank, California",3
You will always make me laugh #mater #cars @ Disney's Art of…,2
My dapper dude! Let’s get it FIREBALL #tymaltorch #fireball #northfieldpark #luvharness @user,1
18 with dad! #golf Love ya pops! @ Quail Meadows Golf Course,0
Happy Tuesday everyone ! Hope everyone is staying cool . #ontariocalifornia #cucamongapeak…,2
In contract ️...first time home owner and she found the perfect home for her family!…,0
"kells, u cant do me no better than this??! #WeAreUK #BBN #BBM @user",1
Dolphins - Our brothers and sisters #love #lovelife #lovewins #peaceful #peacewithin…,0
"3 homes, 1 city. I will miss you, San Francisco! ️ @ San Francisco International Airport",0
️ ️#bordeaux #chateauhautbrion Love sharing great wine! @user,0
DWTS... Missed the last two weeks...nice to be home! #DWTS #clubmccall @ Club McCall,1
Spent the day catching up with my favorite person. #homeiswhereheis @ Lake Mills Park,0
Bridal style @ Flutter Lash Bar &amp; Makeup Studio,3
"Had to do it #airmax1 #airmaxday #heat #kotd #nike #fivestarswag @ Newport News, Virginia",3
"""Making plans to raise some hell, celebrating our senior year"" @user",0
Fire!! #nikond3400 #nikonphotography #nikon # #igersmaine #greatfallsballoonfest…,3
OYA GLO the livest party to hit the Shore in a minute don’t miss out First 100 tickets FREE…,3
"Morning run. #grateful #sea #dunes #sunday #sun #familytime ️ @ Eastport, New York",0
"Loving the #Locavore life ️ Support your local farmers, boost your nutrition, protect the…",0
My Butterfinger Fun Size Candy Bars! @ St. Louis,0
Had fun at the Rose pop up today. The drinks were so good! Same with the doughnuts the view…,2
Fav breakfast •••#smoothies #fruit #strawberry #vegan #bethechange #breakfast #love…,0
"Never stop Smiling! @ Shaver Lake, California",1
Just landed in Orlando! Starting my week at @user resort prior the #GHC17,3
...and I ️ you @ Elizabeth Street Garden,2
"The boys #nba2k18 #christmaseve @ The Terraces at Encino Creek,…",3
Look it this tiny little hard shell. If it weren’t illegal....I’d pop him on a ritz cracker! …,1
"Disney-bound!!! (@ Orlando International Airport - @user in Orlando, FL)",3
Foggy morning walks to grab lattes with these two are my favorite. I hope to always remember…,0
#AfrobeatsmeetsIsland yeressoloungebar #CNYC #DjFyahrama #ladydj #VibesFriday @ Yeresso Lounge…,3
Do you mind? I’m trying to eat! #Nature #Photography #Butterfly @user @ Desert Botanical…,1
PACIFIC PULP RIOT PINK These past two weeks have been such a whirlwind for those of you who've…,3
"I need your support! Please Pre-Nominate me (Jelena Vermilion) for Best New Face, Best Solo…",0
I can't wait for hollweed im going to six flags,1
These guys @ Greenburgh Town,1
"Welcome to New York! @ Times Square, New York City",0
Hot DAMN look at my Greek FAM @ Ball State University,1
Playing tourist for the day... #hollywood #davenbusters #my @ Hollywood Boulevard,0
Aye 2017 season here we come #soccer #gains #nattybound #oregontech @ Oregon Tech,2
Megaaa chillers. Ain't that what you call em ??? @ The Boden,1
Newly obsessed with Laura Owens(always obsessed with @user #whitneymuseum #lauraowens…,2
Today I'm going to do the one thing I put off.... School work,1
Love love love all of these Sweet Faces ️ ️ ️Thank you so much @user and @user,0
Are you ready for Fridays at crafty? cause Annie is! and she's looking FIERCE in her BEAT THE…,1
A bless'd Friday off with this cocktail named after an Offspring song #comeoutandplay @ Agave…,0
Last week we put together our second annual fundraiser for @user THANK YOU to…,0
"Hard to believe I bought this guitar brand new, 30 years ago. Still plays like a dream. #ibanez…",1
Limited Edition Pink Yeti Coolers are here in Tundra 35 &amp; Roadie 20! ( Tundra 50 is on it’s…,3
"Lit @ Rockaway Peninsula, Rockaway Park",3
Definitely enjoying this particular aspect of my new life in California. #swimmingindecember @user,0
"The #Brewtus at @user gives me ""David Copperfield-Like"" levitation skills... ...",3
@user @user It sure did.,1
"What a trio ️. Meryl, Bey, &amp; Hill! Come check out our new line of cards from @user , now…",1
"Went out on #blackfriday with my Mom and got my games from gamestop @ Tanger Outlets, Locust…",1
Graduate Soirée! ️ ️ ️ tonight at SCAD Museum of Art #scadmoa #scad #scadarch #gradsoiree…,0
Tonight Meet Me @ #FridayNightLIVE 803lounge Hosted By: @user @user Music…,3
Happy Friday Transform your hair in just 40 minutes!!! The hair extension center #miami @user,1
We kicked it! They passed the can they hang out with us test @ Nikis Greektown,1
"Finally the pièce de résistance, at least for me anyway (I my sweets) was this homemade birthday…",1
"If you're lucky... a doggy will come into your life, steal your ️ &amp; change everything!…",1
Y'all can't tell me this s*** don't jam. @user x @user x @user @user,3
"Girl Talk @ Cotati, California",2
#puertorico #goodmorning #riseandgrind #trump #clown @ Tampa International Airport,3
"Just the positive good stuff, please. ️ #thelifeofamother…",1
Wishing it was still the weekend.Too much fun celebrating Karina .…,1
My sisters @ UNC Pembroke,2
When you find someone who makes life as great as @user you hold em tight @ Red Horse Barn…,1
"Sometimes I pinch myself to see if I will wake up. I ️ my family, friends, work and life. Most…",1
"Late Lunch with Ruth. (@ Sportsman's Park in Saint Louis, MO)",0
"now we’re all officially legal, happy bday mina @ Pegasus Taverna",1
First time at the #lanternfestival with my love and great friends.@yabaoski's face at the end …,0
Happy birthday to me ️ Great dinner with the family. @ The…,0
KEEP ON SMILIN @ Harvester Performance Center,3
"When I Use To Have Heart For Bitches #FuckLove @ Orange Park, Florida",1
Traveling everywhere and had wonderful breakfast what about you ? #breakfast #santamonicapier…,0
Has saved the Scoopie tokens for months and got herself a “Curdis”! #phanderson @ Culver's,1
Family time... #aboutlastsaturdaynight #Mia en Chuck E. Cheese’s,0
JOANNE WORLD TOUR SHOW #1 - PHILADELPHIA 9/10/17@ladygaga @ Wells Fargo Center,0
YAASSS! @user givin’ us The Only Vibes!!! In my MADELINE vinyl OTK boots!!!!! #vinyl…,3
Gotta get her some new milk! #oilchange #truckerjoshua…,2
Spent yesterday at Sea World with the family. I may have gotten a new Nutcracker. The Park was…,0
"Somebody subscribe to my YouTube Channel! @ Talbot County, Georgia",1
Wedding Date @ The Back Farm on Piney Run,0
Check out the Golden Gate Bridge drone live video @ Golden Gate…,3
Light Work tonight. My chest on fire cz this fool Hieu was on …,3
Got to see Shawn Mendes last night with my girl @user ️ ️ ️ @ Quicken Loans Arena,1
"#TBT #2017bestnine Good ole days for a crazy year @ Raleigh, North Carolina",2
"A big breakfast in a small town, heaven. This was so good . #coffeeken…",0
"Thankful for Momma Dana #blessed @ Advance, Missouri",0
Inspired action ️ ️ ️ ️ ️ ️ ️#satori324wellnessstudio @ Satori324,3
Back in Boston but still dreaming about those #NC brews with my fam ️ @user #beercity…,4
‘At Home With Baukjen’ is up on the Blog! Quick link in bio. Featuring one of fav clothing…,3
#Progression17 out now from my playa patna @user !!! Go get that mymixtapez !!! @user,1
Whitslay in the kitchen Honey Dijon roasted wild caught king…,0
Cory Green! ️ #thedance @ Pasadena Livestock Show &amp; Rodeo,0
"Happy Thanksgiving! #holckohana #grateful #familytime @ Newbury Park, California",0
"Just a few of my practical goals for 2018 @ Nob Hill, Portland",0
"Took everything in me not to steal this pup yesterday @ Saint Augustine Beach, Florida",0
"Never a dull moment @ Charlotte, North Carolina",0
This picture &amp; fireball made the night. Happy 21st Mason Louise …,0
Love ️ it Birthday party at kittykatpoledancing today always open and always a party going on .…,0
We ️ Wi @ Wisconsin State Fair Park,0
Selfie after the shoot thanks for Modeling @user photos…,3
I'm glad my daughter is at an age where she can spend time and remember her great grandmother ️…,0
"As I walk out to the mystic garden, prayers flood my heart ️ and tears break the dam of hate. @user",0
Pretties in my yard that I did not plant #thanksbirds #lilies #hydrangea #hibiscus #louisville…,0
"To say that she loves flamingoes is an understatement @ Lodi, California",2
You already know I had to flex the portrait mode one time LMAO @ Toronto Christmas Market,1
loved every second watching ballsohardesty and @user tonight magic is real sometimes. @user,2
"Got to spend some quality time with our friends, the very small and quiet ( ) Foster family.…",0
This was the most surreal experience ever and I couldn’t have asked for better company got to…,1
I promise I only stepped out for a minute.. #Starbucks #EarlyBlackFriday #WhenWillItEnd @user,1
"Had to pose a little bit at Connor &amp; Ashlyn's wedding, right? So happy for them! @ Tennessee…",2
"I guess this makes me Mother of Dragon @ Iowa City, Iowa",2
Penny and Sparrow ️ ️ ️ @ World Cafe Live,0
My favorite little dude ️ @ Splash Swim School,0
Loving you is fun ️ @ IUP,2
I just wanted a closer view @ Hollywood Casino Amphitheatre Chicago,2
Happy to be home! Lemon rosemary grilled chicken for dinner. #summer2017 @ Pine Lake Golf &amp; Tennis,0
Thanks for the ultimate HG tv weekend @user from visiting Magnolia Market and…,3
Love having my cutie in Cle @ Barrio,2
"Perfect morning for a hike. @ Duncannon, Pennsylvania",0
#foolin with the #bros after a hard #friday session.who want it .#billybounce #ufc #mma…,3
Just wanna give a quick shout-out to this amazing friend @user ! In a week without…,1
I'm glad you thought your approval was needed!!!! #fuckouttahere #saylilbitch #mood…,1
I saw this in class and couldn't stop laughing @ Columbus State Community College,1
Love me some Tara @ Historic Downtown Cary,0
Diva's perfection Call now 225-303-3973 r 802-3037 !!!!!! 7171 airline hwy suite 3 (225)…,0
"XXL size cheesin' at the offices. Thanks for the Boomerang G! @ New York, New York",3
"I swear it's yogitea #yummy @ Woodstock, Georgia",1
"This #oldhouse #downtown done got me this morning y'all, &amp; it's #cold #lol #justhavingfun @user",3
#tbt (really #latergram cause I fail at posting things ): Cuties at #afropunk featuring 21…,1
"LOVED @ Los Angeles, California",0
"Tonight F.M.B.M.C. Presents: ""The National Bound Showcase"" Oct.1 9pm-2amTouche_dc1123 H…",3
Chicago you’ve been good to me ️ @ Navy Pier,1
This boy It amazes me how so much talent can be squeezed into such a small body!…,1
@user &amp; sosweetpoison last night! @ The Basement East,3
I won't even swallow something unless it tastes good. This was not the case last night at…,1
When everything is so pink @ MUSEUM OF ICE CREAM,4
#art comes in so many forms but my fave is defs #music still learning how to produce my own…,0
FRAGGLES!!! @ Museum of Pop Culture,0
"Movies in #MarketSquare - watching Moana with my nephews outside ️ @ Historic Market Square,…",0
@ The Connection at Statesboro,3
Had a great #holiday treatment #event with the #amazing team profilespineisland #redken s…,0
"Live, laugh, love oh and Drink! happysoiree @ Pietro Nolita",2
These two assholes. ️ #teamreckless @ The Alley in Oakland,3
My favorite people at my favorite place ️ @ Norris Lake,0
"Happy birthday Alexis ️ hope you had a good day @ Wildwood, New Jersey",0
"A crackling fire in the fireplace (okay, Netflix on the TV) and a Tree beautifully decorated…",3
thank you rick and lily for letting us be apart of this special moment #25yearanniversary @user,0
TOMORROW WE SHUTTING IT DOWN DJ LAWLESS AND STRADA WILL BE COMING TOGETHER WITH TORONTO…,3
My sweet little friend . #hummigbird #mademefeelspecial @ Moma's House,0
Beautiful Views @ WorldQuest Orlando Resort,0
"#SnowDayLA in my polar bear onesie @ Elysian Park, Los Angeles",0
DAY 5 #lategram. The preliminaries took place last night and I slaayyed my out on the runway.…,3
"Whenever in ATL, check out Vuu @user . The best around. My man is fire . Cuts every…",3
"Playing this at the next function wedding, birthday party, random…",0
Huge shout out to everyone who made last night so much fun a…,1
Make it easy on yourself @user brill_6 y’all sick for this one #realitycheck #ColorWay…,1
"Somebody brought Puerto Rican Coquito!!! #xmasparty @ Mitchellville, Maryland",0
"We almost made it to our first stop #breastfeeding #momstagram @ Lycoming County, Pennsylvania",0
"loves to dance @ Salt Lake City, Utah",0
Yoooooooo this strawberry milkshake from #whataburger so Taste like a shake made from the…,3
#HUhomecoming2017 @ Howard University,3
"Streaming!!! Finally.... we back! @ Chicago, Illinois",1
I love him so much. @ Newport Aquarium,2
Enchanted evening at the #enchantedforest with my #1s ️ ️ Happy…,0
Yes it's eclub today 4 for $5 @ Retro Bakery,3
Just a couple of kids who found something called Love ️ and Hand…,2
"Goin out in NY with my hoodie bae tonight // ️ haleighrhea @ Langham Place, New York",3
Gon throw dis dick like its mine,1
"@ Washington, District of Columbia",3
Where is the mistletoe? ️ em Texas Tech University,0
We make it haute like #hautecouture #fallcolor #royaltycutsandlocs #color…,1
#greenday were *perfect* esp when they brought fans onstage ️ this one sang with…,1
#family #makingmemories ️ #birthdayboy #legoparty #big5 @ My Sweet Home,0
When fitness models get B-12 shots . And... action! B-12 Happy Hour today 4-6pm at the Feel…,3
Cardinals we’ll ever be ️ @ Mizzou Tiger Stadium,1
Poll Giveaway - Answer all 5 questions this weekend and you're entered to WIN! Question 2 -…,1
"Bo, my boy &amp; his girl. @ The Garlic",2
Las Vegas ️ please stand strong. show compassion and spread love. What happened last night is…,0
RNS FELLAS!!! @ E.t.'s Boom Boom Room,3
"here's to your first day of sophomore year. be good, don't cause mommy too much trouble ya kid…",2
Great Art @ Lincoln Road #art #miami #lincolnroad #jesus #maria #love #britto @ Romero Britto…,0
Missing my other half @ James Madison University,0
"Ohhh, you so ugly!!! Lol #beardgamestrong #bearded #fro #afrocarribean #mexorican…",1
Lastnight Was Littt Thou @user X kreatemachine I Really Do Love ️ Alexis Texas She The…,2
LIVE HEALTHY &amp; HAPPY: Passionate about purposeful living!? What drives you every single day?…,0
#RavensHome is funny I thought it was gone be wack. @user,1
@user x @user @ Truluck's,3
️of Mississauga. LimeLight South Tower. Spacious one and den condo…,0
And I’m just the devil with love to spare Photographer: @user #vivalasvegas…,2
They gave her a cheater clip for her chop sticks ️ ️ @ Blue Wasabi,1
This valley’s on fiyaaaaaah @ Valley of Fire State Park,3
#mayaangelou @ Inspire Martial Arts,0
we’ve been celebrating for three weeks now @ Atlanta Marriott Marquis,0
"When mom visits @ New York, New York",0
We’ve got our own Peppermint Bae! Come try our new Peppermint Mocha! @ 5.ATE Café,0
Just finished a #MusicalTheatre class and feeling very #artistic and #creative Stopping by the…,0
The community care bin is filling! thank you so much you amazing members. Community care of…,0
"Details out of focus just like a Monday without coffee. Am I right? @ Central LA, Los Angeles,…",1
Here's his work! He said he's done for the night... But there's…,1
Both Leroy and Adri got this fortune #foodies #padthai #starskitchen #baycity #Michigan…,0
only1porter September 21st highly slept on youngin got some the…,0
You're Gonna ️ Watcha Eat @ Julien's Famous Cajun Style Po-Boys,1
Revisiting my uni days....12 years ago but I feel so at home here. Toronto is my happy place …,0
"hot like .... @ Orlando, Florida",4
"""MIDDLEMAN"" F/ 3problems_liltay ARTWORK: @user 2DAY ON @user mymixtapez…",3
#togetheragain BFF ... separate seminars for 30 years NOW Ruby Seminar janthetford @ Kay Bailey…,0
"#beautiful #view #pano #iphone5s yes I needs the 6 or 8 lol @ Courtyard by Marriott in Cayce, SC",4
"Merry Xmas! @ Houston, Texas",0
Had to throw in the video of him giving Cleveland Tx a shoutout! Flashback Friday to when I…,3
"New Listing in Lewisville so me, Dasha and Dana had a photoshoot 320k | 4 bed | 2.5 bath |…",3
#Repost @user (get_repost)・・・ COMING SOON new mini movie/music video BIPOAR by…,3
when can we do this again? ️ one more week! need pics of the Electrical! #tbt #disneyland60 @user,1
Divas was #MeekMillAllWhiteAlbumRelease @ Diva's night club,3
"the loudest girls in the building, but making the best memories since high school @ Cheddar's…",0
Time to up the @user - Drinking a Duet by @user @ Barvin —,3
This buds for you #thebudtent #iowastatefair2017 @ Iowa State Fair,0
